지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
146,2019-01-01 14:00,1.4,,3.2,270,75,5.1,-2.5,1024.1,1031.9,.3,1.07,,,9,9,CuSc,6,1005,,08,4,,,,
146,2019-01-01 15:00,1.1,0,2.4,290,85,5.6,-1.1,1024.4,1032.2,.1,.63,,,7,7,CuSc,6,977,,08,2.2,,,,
146,2019-01-01 16:00,-.4,,2.4,290,98,5.8,-.6,1025,1032.9,0,.29,0,,8,8,CuSc,6,276,,08,.4,,,,
146,2019-01-01 17:00,-.5,,2.5,290,98,5.8,-.7,1025.4,1033.3,0,.15,0,,6,6,CuSc,7,515,,08,0,,,,
146,2019-01-01 18:00,-1,0,.8,250,96,5.5,-1.5,1025.7,1033.6,0,.02,0,0,6,6,StSc,6,623,,08,-.3,,,,
146,2019-01-01 19:00,-1,,2.9,290,95,5.4,-1.7,1026.1,1034,,,0,,6,6,CuSc,6,836,,08,-.2,,,,
146,2019-01-01 20:00,-1.2,,1,320,93,5.2,-2.1,1026.4,1034.3,,,.1,,8,4,CuSc,6,1098,,08,-.3,,,,
146,2019-01-01 21:00,-1.8,0,1,320,96,5.2,-2.3,1026,1033.9,,,.1,.1,8,8,Sc,14,1066,,08,-.5,,,,
146,2019-01-01 22:00,-2.7,,1.3,20,97,4.9,-3.1,1026.1,1034.1,,,.1,,0,0,,,624,,19,-1,,,,
146,2019-01-01 23:00,-2.4,,.6,320,93,4.8,-3.3,1026.2,1034.1,,,.1,,0,0,,,1080,,19,-1.5,,,,
146,2019-01-02 00:00,-2.5,,.8,360,94,4.8,-3.3,1026.7,1034.7,,,.1,,6,6,,,1120,,,-1.9,,,,
146,2019-01-02 01:00,-3.6,,1.4,50,93,4.4,-4.5,1027.1,1035.1,,,.1,,0,0,,,1200,,,-2.1,,,,
146,2019-01-02 02:00,-3.3,,.8,70,76,3.6,-6.9,1027.1,1035.1,,,.1,,0,0,,,1869,,,-2.3,,,,
146,2019-01-02 03:00,-3,,.6,90,71,3.5,-7.5,1027.1,1035.1,,,.1,,3,3,Sc,12,1979,,,-2.1,,,,
146,2019-01-02 04:00,-3.5,,1,180,81,3.8,-6.2,1026.9,1034.9,,,0,,6,6,Sc,10,1632,,,-2.1,,,,
146,2019-01-02 05:00,-4.4,,1.1,160,84,3.7,-6.7,1026.7,1034.7,,,0,,3,3,Sc,10,1660,,,-2.5,,,,
146,2019-01-02 06:00,-4.6,,1.1,140,83,3.6,-7,1026.6,1034.6,,,0,,3,3,Sc,10,1822,,,-2.8,,,,
146,2019-01-02 07:00,-4.8,,1.7,140,84,3.6,-7,1026.8,1034.8,,,0,,3,3,Sc,12,1814,,,-2.8,,,,
146,2019-01-02 08:00,-4.9,,1.3,110,85,3.6,-7,1027.6,1035.6,0,0,0,,7,0,Sc,,1723,,,-2.6,,,,
146,2019-01-02 09:00,-2.9,,.1,0,75,3.7,-6.7,1028.3,1036.3,.7,.38,0,,2,2,Sc,12,1932,,,-1.5,,,,
146,2019-01-02 10:00,-1.4,,.7,50,72,4,-5.8,1028.4,1036.3,1,1.08,,,3,3,Ac,40,1951,,,-.4,,,,
146,2019-01-02 11:00,.7,,.4,0,64,4.1,-5.3,1028.1,1036,.8,1.44,,,0,0,,,1997,,,.8,,,,
146,2019-01-02 12:00,1,,1.5,320,65,4.3,-4.8,1027,1034.9,1,1.84,,,0,0,,,2000,,,2.9,,,,
146,2019-01-02 13:00,1,,1.9,290,60,3.9,-5.9,1026,1033.8,1,1.82,,,4,4,Sc,10,2000,,,3.4,,,,
146,2019-01-02 14:00,1,,2.2,290,60,3.9,-5.9,1025.4,1033.2,.9,1.62,,,5,5,Sc,10,1951,,,2.7,,,,
146,2019-01-02 15:00,2.3,,2.8,250,59,4.2,-4.9,1025.4,1033.2,.9,1.46,,,6,6,Sc,10,1996,,,5.8,,,,
146,2019-01-02 16:00,1.7,,1,230,62,4.3,-4.8,1025.3,1033.1,.3,.55,,,6,6,Sc,10,1980,,,1.8,,,,
146,2019-01-02 17:00,1.1,,2.8,270,59,3.9,-6,1025.4,1033.2,1,.44,,,0,0,,,2000,,,-.3,,,,
146,2019-01-02 18:00,-.2,,3.3,270,64,3.8,-6.2,1026,1033.9,.3,.04,,,0,0,,,1985,,,-.6,,,,
146,2019-01-02 19:00,-.9,,2.3,270,69,4,-5.8,1026.5,1034.4,,,,,0,0,,,1696,,,-.7,,,,
146,2019-01-02 20:00,-1.5,,.8,290,72,4,-5.8,1026.9,1034.8,,,,,0,0,,,1431,,,-1.6,,,,
146,2019-01-02 21:00,-1.6,,.4,0,73,4,-5.8,1026.7,1034.6,,,,,0,0,,,1571,,,-2.1,,,,
146,2019-01-02 22:00,-1.9,,.2,0,70,3.7,-6.6,1026.6,1034.5,,,,,0,0,,,1696,,,-2.6,,,,
146,2019-01-02 23:00,-2.8,,1.1,180,79,3.9,-5.9,1027,1035,,,,,0,0,,,1408,,,-2.8,,,,
146,2019-01-03 00:00,-3.8,,1.9,140,83,3.8,-6.2,1027,1035,,,,,0,0,,,1275,,,-3,,,,
146,2019-01-03 01:00,-4.6,,1.4,140,84,3.7,-6.8,1027,1035,,,,,0,0,,,1173,,,-3.3,,,,
146,2019-01-03 02:00,-5,,1.3,110,85,3.6,-7.1,1027.2,1035.2,,,,,0,0,,,1199,,,-3.4,,,,
146,2019-01-03 03:00,-5.2,,1.1,140,88,3.7,-6.8,1027.5,1035.5,,,,,0,0,,,1154,,,-3.7,,,,
146,2019-01-03 04:00,-6,,1.7,140,91,3.6,-7.2,1027.4,1035.5,,,,,0,0,,,1066,,,-3.9,,,,
146,2019-01-03 05:00,-6.2,,1.5,110,90,3.5,-7.5,1027.4,1035.5,,,,,0,0,,,1269,,,-4,,,,
146,2019-01-03 06:00,-6.3,,1,90,88,3.4,-7.9,1027.6,1035.7,,,,,0,0,,,1243,,,-4.2,,,,
146,2019-01-03 07:00,-6.5,,1.3,110,90,3.4,-7.8,1027.8,1035.9,,,,,0,0,,,1290,,,-4.4,,,,
146,2019-01-03 08:00,-6.8,,1.5,140,89,3.3,-8.3,1028.1,1036.2,0,.01,,,0,0,,,1372,,,-4.3,,,,
146,2019-01-03 09:00,-3.9,,1,140,81,3.7,-6.6,1029.1,1037.1,.8,.52,,,0,0,,,1299,,,-2.6,,,,
146,2019-01-03 10:00,-.8,,.4,0,65,3.8,-6.5,1029.7,1037.6,1,1.21,,,0,0,,,1853,,,-.9,,,,
146,2019-01-03 11:00,.3,,1.7,360,52,3.2,-8.4,1029.2,1037.1,1,1.63,,,0,0,,,2000,,,.7,,,,
146,2019-01-03 12:00,1.4,,1.5,320,48,3.2,-8.4,1028.4,1036.3,1,1.86,,,0,0,,,2000,,,2.3,,,,
146,2019-01-03 13:00,3.5,,2.2,320,39,3.1,-9.1,1027,1034.8,1,2.01,,,0,0,,,2000,,,5,,,,
146,2019-01-03 14:00,3.5,,1.6,270,34,2.7,-10.9,1026.5,1034.3,1,1.93,,,0,0,,,2000,,,6,,,,
146,2019-01-03 15:00,3.7,,1.9,290,35,2.8,-10.3,1026.3,1034.1,1,1.59,,,0,0,,,2000,,,5.7,,,,
146,2019-01-03 16:00,3.4,,2,320,36,2.8,-10.2,1026.4,1034.2,1,1.08,,,0,0,,,2000,,,3.6,,,,
146,2019-01-03 17:00,2.9,,1.5,270,42,3.2,-8.7,1026.2,1034,1,.46,,,0,0,,,2000,,,-.1,,,,
146,2019-01-03 18:00,1.4,,.7,250,55,3.7,-6.6,1026.5,1034.3,.3,.03,,,0,0,,,1859,,,-.5,,,,
146,2019-01-03 19:00,.9,,1,270,66,4.3,-4.7,1027.3,1035.2,,,,,0,0,,,1706,,,-.7,,,,
146,2019-01-03 20:00,0,,.4,0,69,4.2,-5,1027.3,1035.2,,,,,0,0,,,1230,,,-1.4,,,,
146,2019-01-03 21:00,-.9,,1.1,140,66,3.8,-6.4,1027.1,1035,,,,,0,0,,,1545,,,-1.8,,,,
146,2019-01-03 22:00,-1.6,,.1,0,69,3.8,-6.5,1027.8,1035.7,,,,,0,0,,,1393,,,-2.3,,,,
146,2019-01-03 23:00,-2.6,,1.1,140,72,3.6,-6.9,1027.4,1035.4,,,,,0,0,,,1249,,,-2.7,,,,
146,2019-01-04 00:00,-2.9,,1.5,110,75,3.7,-6.7,1027,1035,,,,,0,0,,,1149,,,-2.9,,,,
146,2019-01-04 01:00,-3.3,,.9,140,75,3.6,-7.1,1026.9,1034.9,,,,,1,0,,,1167,,,-3.3,,,,
146,2019-01-04 02:00,-4.3,,1.8,140,80,3.6,-7.2,1027,1035,,,,,0,0,,,1052,,,-3.5,,,,
146,2019-01-04 03:00,-4.5,,1.5,140,84,3.7,-6.7,1026,1034,,,,,0,0,,,1044,,,-3.6,,,,
146,2019-01-04 04:00,-4.5,,.5,90,83,3.6,-6.9,1026,1034,,,,,0,0,,,1048,,,-3.8,,,,
146,2019-01-04 05:00,-5.3,,1.4,140,86,3.6,-7.2,1025.5,1033.5,,,,,0,0,,,970,,19,-3.9,,,,
146,2019-01-04 06:00,-5.1,,1,140,84,3.5,-7.3,1025,1033,,,,,0,0,,,1083,,19,-4,,,,
146,2019-01-04 07:00,-5.7,,1.7,140,85,3.4,-7.8,1024.6,1032.6,,,,,0,0,,,1015,,,-4.2,,,,
146,2019-01-04 08:00,-5.8,,1.3,140,85,3.4,-7.9,1024.7,1032.7,0,0,,,0,0,,,1018,,,-4.1,,,,
146,2019-01-04 09:00,-4.1,,1.3,110,78,3.5,-7.3,1024.8,1032.8,.7,.35,,,7,5,AcCi,40,1148,,,-2.4,,,,
146,2019-01-04 10:00,-1.3,,.6,320,65,3.6,-7,1024.4,1032.3,.9,.84,,,7,4,AcCi,40,1441,,,-.4,,,,
146,2019-01-04 11:00,0,,.5,270,61,3.7,-6.6,1024.4,1032.3,.1,.69,,,9,9,Ac,40,1313,,,.4,,,,
146,2019-01-04 12:00,-.8,,1.5,290,65,3.8,-6.5,1025.2,1033.1,0,.31,,,10,10,As,28,1262,,,.2,,,,
146,2019-01-04 13:00,.2,,.6,90,57,3.5,-7.3,1024.1,1032,.1,.69,,,10,10,As,22,1284,,,1,,,,
146,2019-01-04 14:00,2.4,,1,110,46,3.3,-8,1022.7,1030.5,.4,1.21,,,8,9,Ac,40,1808,,,3.3,,,,
146,2019-01-04 15:00,3.6,,.9,230,36,2.8,-10.1,1022.2,1029.9,.1,.78,,,10,10,As,28,2000,,,2.2,,,,
146,2019-01-04 16:00,3.4,,.8,250,39,3,-9.2,1021.6,1029.3,0,.3,,,10,10,As,28,1976,,,.9,,,,
146,2019-01-04 17:00,3.1,,.7,290,43,3.3,-8.2,1021.2,1028.9,0,.11,,,10,10,As,28,1609,,,.1,,,,
146,2019-01-04 18:00,2.4,,.7,360,45,3.3,-8.3,1021.2,1029,0,.01,,,9,9,Ac,40,1322,,,-.4,,,,
146,2019-01-04 19:00,2.2,,.5,90,45,3.2,-8.5,1020.9,1028.7,,,,,6,6,,31,1546,,,-.3,,,,
146,2019-01-04 20:00,1.7,,.6,90,48,3.3,-8.1,1020.6,1028.4,,,,,0,0,,,1313,,,-.5,,,,
146,2019-01-04 21:00,.9,,.6,320,52,3.4,-7.8,1021,1028.8,,,,,10,10,As,30,1321,,,-.3,,,,
146,2019-01-04 22:00,.7,,1.6,140,60,3.9,-6.1,1020.5,1028.3,,,,,5,2,,8,1239,,,-.5,,,,
146,2019-01-04 23:00,.9,,.3,0,58,3.8,-6.4,1020.3,1028.1,,,,,3,3,,7,1348,,,-.3,,,,
146,2019-01-05 00:00,.7,,.1,0,57,3.7,-6.8,1020.2,1028,,,,,9,9,Sc,,1250,,,-.3,,,,
146,2019-01-05 01:00,.7,,.7,90,58,3.7,-6.6,1020,1027.8,,,,,9,3,,7,1348,,,-.5,,,,
146,2019-01-05 02:00,.4,,1.7,140,61,3.8,-6.2,1019.9,1027.7,,,,,10,1,,29,1372,,,-.6,,,,
146,2019-01-05 03:00,.6,,.9,140,62,4,-5.8,1019.3,1027.1,,,,,10,10,As,30,1346,,,-.5,,,,
146,2019-01-05 04:00,.8,,.3,0,63,4.1,-5.4,1018.6,1026.4,,,,,10,10,As,30,1281,,,-.4,,,,
146,2019-01-05 05:00,.3,,1.1,320,64,4,-5.7,1018.5,1026.3,,,,,10,10,As,30,1288,,,-.5,,,,
146,2019-01-05 06:00,.4,,.5,290,70,4.4,-4.4,1018.7,1026.5,,,,,10,10,As,30,1004,,,-.6,,,,
146,2019-01-05 07:00,-.2,,1.6,340,74,4.5,-4.2,1018.9,1026.7,,,,,6,6,Sc,10,841,,19,-.6,,,,
146,2019-01-05 08:00,.1,,1.4,320,72,4.4,-4.3,1019.2,1027,0,0,,,8,8,Sc,10,637,,19,-.6,,,,
146,2019-01-05 09:00,-.3,,2,340,78,4.7,-3.6,1020,1027.8,0,.16,,,3,3,Sc,8,451,,19,-.7,,,,
146,2019-01-05 10:00,1.2,,2.5,340,61,4.1,-5.5,1021.2,1029,.4,.64,,,0,0,,,684,,4019,-.1,,,,
146,2019-01-05 11:00,1.7,,2.6,290,57,3.9,-5.9,1021.1,1028.9,1,1.41,,,0,0,,,626,,40,.6,,,,
146,2019-01-05 12:00,2.7,,2.4,320,53,3.9,-5.9,1019.6,1027.3,1,1.71,,,1,0,Ci,,683,,40,2.8,,,,
146,2019-01-05 13:00,2.9,,2,320,48,3.6,-7,1019,1026.7,1,1.92,,,1,0,Ci,,695,,40,7,,,,
146,2019-01-05 14:00,3.9,,2.8,340,43,3.5,-7.5,1018.2,1025.9,1,1.83,,,2,0,Ci,,923,,40,8.7,,,,
146,2019-01-05 15:00,3.7,,2.9,320,39,3.1,-9,1018.1,1025.8,1,1.54,,,0,0,,,1129,,40,7.7,,,,
146,2019-01-05 16:00,3.4,,2.6,290,31,2.4,-12.1,1017.9,1025.6,1,1.05,,,0,0,,,1885,,,4.7,,,,
146,2019-01-05 17:00,2.7,,2.7,340,30,2.2,-13.1,1017.4,1025.1,1,.48,,,0,0,,,2000,,,1,,,,
146,2019-01-05 18:00,1.3,,2.4,320,36,2.4,-12.1,1017.9,1025.7,.3,.03,,,0,0,,,1979,,,-.4,,,,
146,2019-01-05 19:00,-.3,,2.5,340,34,2,-14.2,1018.6,1026.4,,,,,0,0,,,2000,,,-1,,,,
146,2019-01-05 20:00,-1.2,,1.6,320,37,2.1,-14,1018.8,1026.7,,,,,0,0,,,2000,,,-1.8,,,,
146,2019-01-05 21:00,-2.2,,1.7,320,43,2.2,-13.1,1019.8,1027.7,,,,,0,0,,,1987,,,-2.5,,,,
146,2019-01-05 22:00,-2.9,,1.8,320,47,2.3,-12.6,1020,1027.9,,,,,0,0,,,2000,,,-3.1,,,,
146,2019-01-05 23:00,-3.5,,2.2,340,51,2.4,-12.2,1019.9,1027.8,,,,,0,0,,,1977,,,-3.6,,,,
146,2019-01-06 00:00,-3.3,,1.1,320,51,2.4,-12,1019.9,1027.8,,,,,4,0,,,2000,,,-3.3,,,,
146,2019-01-06 01:00,-3.6,,.7,320,54,2.5,-11.5,1020.1,1028,,,,,8,8,,66,1815,,,-3.5,,,,
146,2019-01-06 02:00,-3.6,,.1,0,53,2.5,-11.8,1020.4,1028.3,,,,,10,8,,47,1844,,,-3.1,,,,
146,2019-01-06 03:00,-4.4,,.7,340,58,2.6,-11.4,1020.8,1028.8,,,,,7,0,Ci,,1777,,,-3.5,,,,
146,2019-01-06 04:00,-4,,.8,110,60,2.7,-10.6,1020.3,1028.3,,,,,8,0,Ci,,1746,,,-3.8,,,,
146,2019-01-06 05:00,-4.5,,.7,140,59,2.6,-11.3,1020.3,1028.3,,,,,9,0,Ci,,1961,,,-4.1,,,,
146,2019-01-06 06:00,-5.1,,.4,0,61,2.6,-11.4,1020.3,1028.3,,,,,10,10,As,32,1948,,,-3.1,,,,
146,2019-01-06 07:00,-4.5,,1.2,140,62,2.7,-10.6,1020.1,1028.1,,,,,10,10,As,30,1933,,,-2.8,,,,
146,2019-01-06 08:00,-4,,.5,160,56,2.5,-11.5,1020.8,1028.8,0,0,,,8,8,Ac,41,2000,,,-2.9,,,,
146,2019-01-06 09:00,-4.3,,.7,360,71,3.2,-8.7,1021.8,1029.8,.4,.23,,,5,2,AcCi,42,1131,,,-2.7,,,,
146,2019-01-06 10:00,-2.1,,.7,360,57,3,-9.4,1022,1029.9,1,.78,,,0,0,,,1652,,,-1.4,,,,
146,2019-01-06 11:00,-.2,,.5,270,47,2.8,-10.1,1021.8,1029.6,1,1.34,,,0,0,,,1832,,,0,,,,
146,2019-01-06 12:00,.9,,.9,290,41,2.7,-10.8,1021,1028.8,1,1.81,,,0,0,,,2000,,,1.3,,,,
146,2019-01-06 13:00,1.4,,2.7,270,38,2.6,-11.4,1020.6,1028.4,1,2,,,0,0,,,2000,,,2.5,,,,
146,2019-01-06 14:00,2.9,,2.1,270,35,2.6,-11,1020.3,1028,1,1.93,,,0,0,,,2000,,,4.4,,,,
146,2019-01-06 15:00,3.7,,2.6,250,32,2.5,-11.5,1020.3,1028,1,1.61,,,0,0,,,2000,,,4.9,,,,
146,2019-01-06 16:00,3.4,,2.3,250,40,3.1,-8.9,1020.3,1028,1,1.12,,,0,0,,,2000,,,3.3,,,,
146,2019-01-06 17:00,2.5,,2,270,49,3.6,-7.1,1020.6,1028.4,1,.5,,,0,0,,,2000,,,.1,,,,
146,2019-01-06 18:00,1,,2.3,270,61,4,-5.6,1020.7,1028.5,.3,.04,,,1,0,Ci,,2000,,,-.4,,,,
146,2019-01-06 19:00,.4,,1.1,230,58,3.6,-6.9,1021.5,1029.3,,,,,0,0,,,2000,,,-.7,,,,
146,2019-01-06 20:00,.2,,.1,0,57,3.5,-7.3,1021.4,1029.2,,,,,0,0,,,2000,,,-1.5,,,,
146,2019-01-06 21:00,-.5,,.7,110,65,3.8,-6.2,1021.7,1029.6,,,,,0,0,,,1946,,,-2.1,,,,
146,2019-01-06 22:00,-1.6,,1,140,70,3.8,-6.3,1021.8,1029.7,,,,,0,0,,,1728,,,-2.5,,,,
146,2019-01-06 23:00,-2.5,,1.5,140,70,3.6,-7.2,1021.3,1029.2,,,,,0,0,,,1593,,,-2.8,,,,
146,2019-01-07 00:00,-2.9,,.9,140,72,3.6,-7.2,1021.7,1029.6,,,,,0,0,,,1558,,,-3.2,,,,
146,2019-01-07 01:00,-3.5,,1.4,110,77,3.6,-6.9,1021.5,1029.4,,,,,0,0,,,1549,,,-3.5,,,,
146,2019-01-07 02:00,-3.8,,1,110,77,3.6,-7.2,1021.5,1029.5,,,,,0,0,,,1594,,,-3.8,,,,
146,2019-01-07 03:00,-4.6,,1.6,140,79,3.5,-7.6,1021.6,1029.6,,,,,0,0,,,1656,,,-4,,,,
146,2019-01-07 04:00,-4.6,,1.7,110,79,3.5,-7.6,1021.6,1029.6,,,,,0,0,,,1778,,,-4,,,,
146,2019-01-07 05:00,-5.2,,1.4,140,82,3.4,-7.7,1021.4,1029.4,,,,,0,0,,,1664,,,-4.3,,,,
146,2019-01-07 06:00,-5.2,,1.2,140,82,3.4,-7.7,1021.7,1029.7,,,,,0,0,,,1655,,,-4.3,,,,
146,2019-01-07 07:00,-5.4,,1.6,140,84,3.5,-7.6,1021.6,1029.6,,,,,0,0,,,1563,,,-4.4,,,,
146,2019-01-07 08:00,-5.2,,1.3,110,84,3.5,-7.4,1021.9,1029.9,0,0,,,1,0,Ci,,1439,,,-4.3,,,,
146,2019-01-07 09:00,-3.6,,1.1,140,79,3.7,-6.7,1022.2,1030.2,.6,.28,,,0,0,,,1636,,,-2.4,,,,
146,2019-01-07 10:00,-1.3,,.9,110,70,3.9,-6,1022.7,1030.6,1,.78,,,0,0,,,1684,,,-.7,,,,
146,2019-01-07 11:00,1.9,,.4,0,60,4.2,-5,1022.8,1030.6,1,1.3,,,0,0,,,1969,,,.3,,,,
146,2019-01-07 12:00,2.3,,2.2,360,57,4.1,-5.3,1021.7,1029.5,1,1.63,,,4,0,Ci,,1569,,,2.1,,,,
146,2019-01-07 13:00,3,,2,320,54,4.1,-5.4,1020.7,1028.4,1,1.78,,,1,0,Ci,,1355,,,4.3,,,,
146,2019-01-07 14:00,4.2,,1.7,340,50,4.1,-5.3,1020.2,1027.9,1,1.78,,,4,1,ScCi,10,1301,,,6.1,,,,
146,2019-01-07 15:00,4.3,,2.4,290,53,4.4,-4.4,1020.7,1028.4,.9,1.18,,,6,3,ScCi,12,1126,,,5.6,,,,
146,2019-01-07 16:00,3.8,,1.2,360,55,4.4,-4.4,1020.3,1028,.7,.79,,,3,1,ScCi,13,1140,,,3.4,,,,
146,2019-01-07 17:00,3,,1.2,360,58,4.4,-4.4,1019.8,1027.5,.5,.32,,,6,0,Ci,,1020,,,.4,,,,
146,2019-01-07 18:00,2.6,,1.1,340,61,4.5,-4.1,1019.8,1027.5,0,.03,,,7,0,Ci,,894,,40,-.4,,,,
146,2019-01-07 19:00,2.3,,.6,270,63,4.5,-4,1019.9,1027.7,,,,,6,4,,58,854,,40,-.7,,,,
146,2019-01-07 20:00,1.1,,.2,0,68,4.5,-4.1,1019.9,1027.7,,,,,8,6,,50,712,,40,-.7,,,,
146,2019-01-07 21:00,.7,,.1,0,71,4.6,-3.9,1020.1,1027.9,,,,,7,0,Ci,,665,,40,-1.1,,,,
146,2019-01-07 22:00,.4,,.5,160,73,4.6,-3.8,1020,1027.8,,,,,10,10,,49,647,,40,-.9,,,,
146,2019-01-07 23:00,.3,,.5,200,75,4.7,-3.6,1020.5,1028.3,,,,,10,10,,48,582,,40,-1.1,,,,
146,2019-01-08 00:00,0,,.9,110,77,4.7,-3.5,1020.1,1027.9,,,,,8,0,Ci,,572,,40,-1,,,,
146,2019-01-08 01:00,-.3,,1.1,110,78,4.7,-3.6,1020.1,1027.9,,,,,9,9,,45,580,,40,-1.1,,,,
146,2019-01-08 02:00,-.7,,1.1,140,79,4.6,-3.8,1020.1,1027.9,,,,,9,9,,44,559,,40,-1.2,,,,
146,2019-01-08 03:00,-.9,,.9,160,81,4.6,-3.7,1020.1,1028,,,,,7,0,Ci,,508,,4019,-2.1,,,,
146,2019-01-08 04:00,-1.3,,1.5,110,84,4.7,-3.6,1020.3,1028.2,,,,,8,0,Ci,,309,,19,-2.3,,,,
146,2019-01-08 05:00,-2.1,,1.4,140,87,4.6,-3.9,1020,1027.9,,,,,3,0,Ci,,464,,19,-2.8,,,,
146,2019-01-08 06:00,-1.4,,.3,0,85,4.7,-3.6,1020,1027.9,,,,,5,3,ScCi,10,455,,19,-2.1,,,,
146,2019-01-08 07:00,-2.2,,.2,0,90,4.7,-3.6,1020.5,1028.4,,,,,6,0,Ci,,410,,19,-3.2,,,,
146,2019-01-08 08:00,-2.7,,.8,320,92,4.6,-3.8,1021,1028.9,0,0,,,0,0,,,358,,19,-3.5,,,,
146,2019-01-08 09:00,-1.2,,.3,0,84,4.7,-3.5,1021.1,1029,.5,.31,,,0,0,,,425,,19,-1.8,,,,
146,2019-01-08 10:00,.7,,.9,90,70,4.5,-4.1,1021,1028.8,1,.91,,,0,0,,,598,,19,-.4,,,,
146,2019-01-08 11:00,1.6,,1.9,360,55,3.8,-6.4,1021.6,1029.4,.8,1.25,,,4,4,Sc,12,1783,,19,.6,,,,
146,2019-01-08 12:00,2.9,,1.4,360,55,4.2,-5.2,1020.8,1028.5,.4,1.17,,,6,6,Sc,11,1474,,,1.9,,,,
146,2019-01-08 13:00,2.6,,3.3,320,53,3.9,-6,1020.3,1028.1,.6,1.34,,,4,4,Sc,12,1718,,,3,,,,
146,2019-01-08 14:00,2.5,,3.9,270,54,4,-5.8,1020.2,1028,1,1.74,,,5,5,Sc,11,1707,,,4.6,,,,
146,2019-01-08 15:00,3.1,,4.3,270,42,3.2,-8.5,1019.8,1027.5,.6,1,,,5,3,ScCi,14,2000,,,4.1,,,,
146,2019-01-08 16:00,2.4,,4.4,290,35,2.5,-11.5,1020.1,1027.9,.9,.92,,,4,0,Ci,,2000,,,1.7,,,,
146,2019-01-08 17:00,1.6,,4.2,320,29,2,-14.5,1020.6,1028.4,1,.51,,,4,0,Ci,,2000,,,.2,,,,
146,2019-01-08 18:00,.1,,4.4,320,38,2.3,-12.5,1021.8,1029.6,.3,.06,,,0,0,,,2000,,,-.7,,,,
146,2019-01-08 19:00,-.7,,4.5,320,48,2.8,-10.3,1022.6,1030.5,,,,,0,0,,,1943,,,-1.2,,,,
146,2019-01-08 20:00,-1.8,,2.5,320,53,2.8,-10.1,1022.7,1030.6,,,,,0,0,,,1732,,,-1.9,,,,
146,2019-01-08 21:00,-1.6,,2.2,320,55,3,-9.4,1023,1030.9,,,,,7,7,Sc,12,1667,,,-2.2,,,,
146,2019-01-08 22:00,-2.1,,2.6,320,60,3.1,-8.8,1023.4,1031.3,,,,,0,0,,,1434,,,-2.7,,,,
146,2019-01-08 23:00,-3.1,,2.2,320,60,2.9,-9.7,1023.7,1031.7,,,,,8,0,,,1866,,,-3.1,,,,
